gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,-1.2773538915070017,0,2,1,0,1,0,0,0,0,0,1,0,-1.1602405389153594,-0.9941685482090249,0
1,0,0,0,0.06632271016746097,1,0,1,1,0,1,0,0,0,1,0,1,-0.25961050958945525,-0.17322967294207875,0
1,0,0,0,-1.2366364187289876,1,0,1,1,1,0,0,0,0,0,1,1,-0.36263460888503846,-0.959603165511527,1
1,0,0,0,0.5142149107256152,0,2,1,1,0,1,1,0,0,1,0,2,-0.7464824627121305,-0.19475026561772396,0
0,0,0,0,-1.2366364187289876,1,0,2,0,0,0,0,0,0,0,1,0,0.19735122115708273,-0.9404001751240282,1
0,0,0,0,-0.9923315820609035,1,1,2,0,0,1,0,1,1,0,1,0,1.1594633742561573,-0.6451376436141759,1
1,0,0,1,-0.42228696316870723,1,1,2,0,1,0,0,1,0,0,1,3,0.8088491008469951,-0.1467869344544654,0
0,0,0,0,-0.9108966365048755,0,2,1,1,0,0,0,0,0,0,0,1,-1.1635638969571525,-0.8740726048775525,0
0,0,1,0,-0.17798212650062314,1,1,2,0,0,1,1,1,1,0,1,0,1.3306163134084967,0.33732707493520286,1
1,0,0,1,1.2064119479518536,1,0,1,1,1,0,0,0,0,1,0,2,-0.28619737392379946,0.5324029703888975,0
1,0,1,1,-0.7887442181708334,1,0,1,1,0,0,0,0,0,0,1,1,-0.49224557251496553,-0.7480171128051321,0
1,0,0,0,-0.6665917998367914,1,0,0,2,2,2,2,2,2,2,0,3,-1.5224865654707966,-0.8630805483109152,0
1,0,1,0,1.0435420568397975,1,1,2,0,0,1,0,1,1,1,0,3,1.1827268805487081,1.5005647719600013,0
1,0,0,0,0.6770848018376713,1,1,2,0,1,1,0,1,1,0,1,2,1.2940593749487739,1.215919066170134,1
1,0,0,0,-0.3001345448346652,1,0,2,1,0,1,1,1,1,0,1,0,1.353879819701048,0.17840577517659204,0
0,0,1,1,1.4914342573979515,1,1,2,1,1,1,1,1,1,2,0,3,1.6114400679400056,2.4779528378782016,0
0,0,0,0,0.7992372201717133,1,0,0,2,2,2,2,2,2,1,0,1,-1.4659894787603158,-0.5557664849027015,0
1,0,0,1,1.5728692029539797,1,1,2,1,0,1,0,1,1,2,0,2,1.3937601162025641,2.25153413052767,0
0,0,1,1,-0.9108966365048755,1,0,1,0,0,1,1,0,0,0,0,3,-0.3177692753208328,-0.7741066928488375,1
0,0,0,0,-0.46300443594672125,1,0,2,0,1,1,0,0,1,0,1,0,0.8404210022440287,-0.1849721912020205,0
